"Tabel 5.17. Jumlah Rumah Tangga Budidaya dan Pembudidaya Rumput Laut di Kecamatan Kormomolin, 2011-2012",,,,,,
,,,,,,
Uraian,2011,2012,,,,
Rumah Tangga Budidaya ,14,6,,,,
Pembudidaya ,14,6,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
