Tabel 8.2. Keberadaan Jembatan pada Jalan Utama Desa-Desa di Kecamatan Kormomolin,,,,,,
,,,,,,
Desa ,Jumlah Jembatan ,Nama Jembatan,,,,
Lorwembun ,1,Wear Batjas II (Nortok),,,,
Alusi Batjas ,1,Wengusydas (Wear Ngutjas),,,,
Alusi Tamrian ,0,,,,,
Alusi Bukjalim ,0,,,,,
Alusi Kelaan ,0,,,,,
Alusi Krawain ,1,Weryanik,,,,
Meyano Raya ,2,Slandir Wertabung,,,,
Kilmasa ,1,Werkelmias,,,,
Lumasebu ,3,Sabir Medas Wemul Welol,,,,
