Tabel 3.2. Luas Wilayah dan Kepadatan Penduduk Kecamatan Kormomolin Hasil Sensus Penduduk Tahun 2000 dan 2010 Dirinci per Desa,,,
,,,
Desa ,Luas (km2) ,Kepadatan Penduduk 2000,Kepadatan Penduduk 2010
Lorwembun ,153.59,4.79,4.71
Alusi Batjas ,149.4,3.56,3.6
Alusi Tamrian ,70.75,5.8,6.23
Alusi Bukjalim ,43.32,6.26,5.77
Alusi Kelaan ,50.83,14.09,15.58
Alusi Krawain ,63.2,11.63,11.77
Meyano Raya* ,107.75,0.01,0.01
Kilmasa ,107.66,4.82,5.49
Lumasebu ,186.68,3.04,3.27
