"Tabel 4.3. Banyaknya Sekolah Dasar Swasta, Murid, dan Guru Dirinci per Desa,  2010/2011-2011/2012",,
,,
Uraian ,2010/2011 ,2011/2012
Sekolah ,9,9
Murid ,1001,1003
Guru ,66,55
