"Tabel 4.10. Rata-Rata Murid per Sekolah Menurut Jenjang PendidikanDi Kecamatan Kormomolin, 2010/2011-2011/2012",,,,,,
,,,,,,
Tahun ,Sekolah Dasar ,SMTP Junior High ,SMTA Senior High,,,
2011/2012 ,107,81,130,,,
2010/2011 ,106,81,0,,,
