"Tabel 5.3. Produksi Tanaman Pangan di Kecamatan Kormomolin (ton), 2010-2012",,,,,,
,,,,,,
Komoditi,2010,2011,2012,,,
Padi Ladang ,24,36,49,,,
Jagung ,47,66,170,,,
Ketela Pohon ,206,206,234,,,
Ketela Rambat ,187,187,198,,,
Kacang Tanah ,16,14,20,,,
Kacang Hijau ,36,36,75,,,
Kacang-Kacangan Lainnya ,8,8,12,,,
Ubi-Ubian Lainnya ,459,459,498,,,
