"Tabel 5.13. Perkembangan Hasil Penangkapan Ikan dan Nilai Ikan di Kecamatan Kormomolin, 2010-2012",,,,,,
,,,,,,
Uraian,2010,2011,2012,,,
Produksi (ton) ,446,435,440,,,
Nilai (.000 Rp.) ,2.48,5.38,5.46,,,
,,,,,,
