Tabel 2.1. Nama-Nama Camat Kormomolin Sejak Tahun 2003 Sampai Sekarang,,,,,,
,,,,,,
Nama Camat ,Masa Jabatan,,,,,
"L. Kuway, BA",2003 ­ 2005,,,,,
"L. Masela, S.Sos, MM",2005 ­ 2007,,,,,
Drs. Heatubun,2007 ­ 2009,,,,,
"S. Ranbalak, SH, M.Hum",2009 ­ 2011,,,,,
"Corneles Belay, S.Sos, M.Si",2011 ­ 2013,,,,,
"Robertus Tupamahu, SE",2013 - ......,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
