"Tabel 4.8. Banyaknya Sekolah Menengah Tingkat Atas Negeri, Murid, dan Guru Di Kecamatan Kormomolin, 2010/2011- 2011/2012",,,,,,
,,,,,,
Uraian ,2010/2011 ,2011/2012,,,,
Sekolah ,1,1,,,,
Murid ,121,130,,,,
Guru ,20,16,,,,
