Tabel 1.3. Ketinggian Desa-Desa di Kecamatan Kormomolin,
,
Desa ,Ketinggian Diatas Permukaan Laut (m)
Lorwembun ,1
Alusi Batjas ,1
Alusi Tamrian ,25
Alusi Bukjalim ,20
Alusi Kelaan ,1
Alusi Krawain ,30
Meyano Raya* ,1
Kilmasa ,1
Lumasebu ,1
