"Table 4.11. Rasio Murid Terhadap Guru Menurut Jenjang Pendidikan Di Kecamatan Kormomolin, 2010/2011-2011/2012",,,,,,
,,,,,,
Tahun ,Sekolah Dasar ,SMTP Junior High ,SMTA Senior High,,,
2011/2012 ,17,9,8,,,
2010/2011 ,14,8,6,,,
