"Tabel 5.16. Banyaknya Alat Penangkap Ikan Menurut Jenis Dirinci per Desa, 2012",,,,,,
,,,,,,
Kecamatan ,Pukat ,Jaring  Insang ,Jaring Angkat ,Pancing,Perangkap,Lain-Lain
Lorwembun ,- ,11,- ,52,9,32
Alusi Batjas ,- ,- ,- ,- ,- ,-
Alusi Tamrian ,- ,- ,- ,- ,- ,-
Alusi Bukjalim ,- ,- ,- ,- ,- ,-
Alusi Kelaan ,- ,11,- ,58,5,53
Alusi Krawain ,- ,- ,- ,- ,- ,-
Meyano Raya* ,- ,24,- ,51,11,36
Kilmasa ,- ,14,- ,60,10,48
Lumasebu ,- ,20,- ,36,19,77
