Tabel 3.3. Pertumbuhan dan Laju Pertumbuhan Penduduk Kecamatan Kormomolin Hasil Sensus Penduduk Tahun 2000 dan 2010 Dirinci per Desa,,
,,
Desa,Pertumbuhan Penduduk 2000 ­ 2010 ,Laju Pertumbuhan Penduduk 2000 ­ 2010 (%)
Lorwembun ,-12,-0.16
Alusi Batjas ,6,0.11
Alusi Tamrian ,31,0.73
Alusi Bukjalim ,-21,-0.8
Alusi Kelaan ,76,1.01
Alusi Krawain ,9,0.12
Meyano Raya* ,-30,-0.24
Kilmasa ,72,1.31
Lumasebu ,42,0.72
