"Tabel 4.5. Banyaknya Sekolah Menengah Tingkat Pertama Negeri,Murid, dan Guru Di Kecamatan Kormomolin, 2010/2011- 2011/2012",,,,,,
,,,,,,
Uraian ,2010/2011 ,2011/2012,,,,
Sekolah ,2,5,,,,
Murid ,169,305,,,,
Guru ,19,25,,,,
