"Tabel 6.1. Jumlah Rumah Tangga Pengguna Listrik di Kecamatan Kormomolin, 2011",,
,,
Desa,Rumah Tangga Pengguna Listrik PLN ,Rumah Tangga Pengguna Listrik Non PLN
Lorwembun ,0,170
Alusi Batjas ,0,121
Alusi Tamrian ,0,12
Alusi Bukjalim ,0,26
Alusi Kelaan ,0,107
Alusi Krawain ,0,49
Meyano Raya* ,0,100
Kilmasa ,0,82
Lumasebu ,0,140
