Tabel 1.4. Jarak Ibukota Kecamatan dengan Ibukota Kabupaten dan Desa-Desa di Kecamatan Kormomolin,
,
Desa / Kota,Jarak (km)
Alusi Kelaan - Saumlaki ,73
Lorwembun ,4
Alusi Batjas ,3
Alusi Tamrian ,2
Alusi Bukjalim ,1
Alusi Krawain ,2
Meyano Raya* ,8
Kilmasa ,9
Lumasebu ,10
