"Tabel 5.7. Luas Areal Tanaman Perkebunan di Kecamatan Kormomolin (ha), 2010-2012",,,,,,
,,,,,,
Komoditi,2010,2011,2012,,,
Kelapa ,2236,2287,2288,,,
Pala ,0,2,2.2,,,
Kopi ,0,- ,-,,,
Coklat,186,196,200,,,
Jambu Mete ,362,353,353,,,
,,,,,,
,,,,,,
,,,,,,
