"Tabel 3.6. Rasio Jenis Kelamin Penduduk Kecamatan Kormomolin Dirinci per Desa, 2012",,,,,,
,,,,,,
Desa ,Laki-laki ,Perempuan ,Rasio,,,
Lorwembun ,398,359,111,,,
Alusi Batjas ,267,297,90,,,
Alusi Tamrian ,231,231,100,,,
Alusi Bukjalim ,129,133,97,,,
Alusi Kelaan ,430,400,108,,,
Alusi Krawain ,401,378,106,,,
Meyano Raya* ,631,659,96,,,
Kilmasa ,298,321,93,,,
Lumasebu ,338,301,112,,,
