Tabel 1.6. Nama-Nama Sungai di Kecamatan Kormomolin,,,,,,
,,,,,,
Nama Sungai ,Desa yang Dilalui,,,,,
1. Nuertok ,Lorwembun,,,,,
2. Skeain ,Lorwembun,,,,,
3. Wengusydas ,Alusi Batjas,,,,,
4. Weloka ,Alusi Kelaan,,,,,
5. Weryanik ,Alusi Krawain,,,,,
6. Sitaniwer / Air Kuning ,Kilmasa,,,,,
7. Syalir Ngaluit / Pancuran Deras ,Lumasebu,,,,,
8. Sabir Medas / Air Terjun ,Lumasebu,,,,,
9. Wemul ,Lumasebu,,,,,
10. Welol ,Lumasebu,,,,,
