Tabel 3.4. Rasio Jenis Kelamin Penduduk Kecamatan Kormomolin Hasil Sensus Penduduk 2010 Dirinci per Desa,,,,,,
,,,,,,
Desa ,Laki-laki ,Perempuan ,Rasio,,,
Lorwembun ,379,344,110,,,
Alusi Batjas ,254,284,89,,,
Alusi Tamrian ,220,221,100,,,
Alusi Bukjalim ,123,127,97,,,
Alusi Kelaan ,409,383,107,,,
Alusi Krawain ,382,362,106,,,
Meyano Raya* ,601,631,95,,,
Kilmasa ,284,307,93,,,
Lumasebu ,322,288,112,,,
