"Tabel 5.9. Populasi Ternak di Kecamatan Kormomolin (ekor), 2010-2012",,,
,,,
Jenis Ternak,2010,2011,2012
Sapi ,0,0,11
Kerbau,0,0,16
Kambing ,0,0,6
Domba ,0,0,-
Babi ,1917,1929,2044
Kuda ,0,0,0
