"Tabel 5.18. Produksi dan Nilai Rumput Laut di Kecamatan Kormomolin, 2012",,,,,,
,,,,,,
Uraian,Produksi  (ton) ,Nilai / Values,,,,
Produksi Basah ,25.73,0.03,,,,
Produksi Kering ,3.22,0.03,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
