"Tabel 4.4. Banyaknya Sekolah Menengah Tingkat Pertama, Murid, dan Guru Di Kecamatan Kormomolin, 2010/2011-2011/2012",,,,,,
,,,,,,
Uraian ,2010/2011 ,2011/2012,,,,
Sekolah ,5,5,,,,
Murid ,406,403,,,,
Guru ,53,47,,,,
