"Tabel 5.2. Luas Panen Tanaman Pangan di Kecamatan Kormomolin (ha), 2010-2012",,,,,,
,,,,,,
Komoditi,2010,2011,2012,,,
Padi Ladang ,59,30,41,,,
Jagung ,59,44,44,,,
Ketela Pohon ,34,34,39,,,
Ketela Rambat ,31,31,25,,,
Kacang Tanah ,25,13,11,,,
Kacang Hijau ,45,45,37,,,
Kacang-Kacangan Lainnya ,14,14,15,,,
Ubi-Ubian Lainnya ,77,77,73,,,
