"Tabel 4.1. Banyaknya Sekolah Dasar, Murid, dan Guru Di Kecamatan Kormomolin, 2010/2011-2011/2012",,
,,
Uraian ,2010/2011 ,2011/2012
Sekolah ,10,10
Murid ,1063,1065
Guru ,76,63
