"Tabel 3.5. Jumlah Penduduk Kecamatan Kormomolin Menurut Jenis Kelamin Dirinci per Desa, 2012",,,,,,
,,,,,,
Desa ,Laki-laki ,Perempuan ,Jumlah,,,
Lorwembun ,398,359,757,,,
Alusi Batjas ,267,297,564,,,
Alusi Tamrian ,231,231,462,,,
Alusi Bukjalim ,129,133,262,,,
Alusi Kelaan ,430,400,830,,,
Alusi Krawain ,401,378,779,,,
Meyano Raya* ,631,659,1290,,,
Kilmasa ,298,321,619,,,
Lumasebu ,338,301,639,,,
