"Tabel 6.2. Sumber Air Minum Utama Sebagian Besar Keluarga di Kecamatan Komomolin Dirinci per Desa, 2011",,,,,,
,,,,,,
Desa ,Sumber Air Minum Utama,,,,,
Lorwembun ,Mata Air ,,,,,
Alusi Batjas ,Sumur ,,,,,
Alusi Tamrian ,Mata Air ,,,,,
Alusi Bukjalim ,Mata Air ,,,,,
Alusi Kelaan ,Mata Air,,,,,
Alusi Krawain ,Sumur ,,,,,
Meyano Raya ,Mata Air ,,,,,
Kilmasa ,Mata Air ,,,,,
Lumasebu ,Mata Air ,,,,,
