Tabel 3.1. Jumlah Penduduk Kecamatan Kormomolin Hasil Sensus Penduduk Tahun 2000 dan 2010 Dirinci per Desa,,
,,
Desa ,Jumlah Penduduk 30­06­2000 ,Jumlah Penduduk 31­05­2010
Lorwembun ,735,723
Alusi Batjas ,532,538
Alusi Tamrian ,410,441
Alusi Bukjalim ,271,250
Alusi Kelaan ,716,792
Alusi Krawain ,735,744
Meyano Raya* ,1262,1232
Kilmasa ,519,591
Lumasebu ,568,610
