Tabel 1.5. Luas Wilayah Kecamatan Kormomolin Dirinci per Desa,,
,,
Desa ,Luas Wilayah  (km2) ,Persentase (%)
Lorwembun ,153.59,16.46
Alusi Batjas ,149.40,16.01
Alusi Tamrian ,70.75,7.58
Alusi Bukjalim ,43.32,4.64
Alusi Kelaan ,50.83,5.54
Alusi Krawain ,63.20,6.77
Meyano Raya* ,107.75,11.55
Kilmasa ,107.66,11.54
Lumasebu ,186.68,20.00
