Tabel 1.2. Letak Geografis Desa-Desa di Kecamatan Kormomolin,,
,,
Desa ,Pulau ,Letak Desa
Lorwembun ,Yamdena, Pesisir Pantai
Alusi Batjas ,Yamdena, Pesisir Pantai
Alusi Tamrian ,Yamdena, Pesisir Pantai
Alusi Bukjalim ,Yamdena, Pesisir Pantai
Alusi Kelaan ,Yamdena, Pesisir Pantai
Alusi Krawain ,Yamdena, Pesisir Pantai
Meyano Raya* ,Yamdena, Pesisir Pantai
Kilmasa ,Yamdena, Pesisir Pantai
Lumasebu ,Yamdena, Pesisir Pantai
