"Tabel 5.5. Luas Panen dan Produksi Tanaman Sayuran di Kecamatan Kormomolin, 2012",,,,,,
,,,,,,
Komoditi,Luas Panen  (ha) ,Produksi (ton),,,,
Bawang Merah,4.7,24.4,,,,
Cabe ,1.5,5.6,,,,
Kentang ,- ,-,,,,
Kubis,2.1,27.3,,,,
Wortel,- ,-,,,,
Petsai ,1.5,21.3,,,,
Kacang Panjang,0.5,2.8,,,,
Buncis ,0.5,3.5,,,,
Bayam ,1.5,2.6,,,,
Kangkung,4.0,3.6,,,,
