"Tabel 4.20. Banyaknya Tempat Ibadah di Kecamatan Kormomolin, 2011",,,,,,
,,,,,,
Desa ,Gereja Mesjid ,Gereja Protestan ,Gereja Katolik,,,
Lorwembun ,0,0,1,,,
Alusi Batjas ,0,0,1,,,
Alusi Tamrian ,0,0,1,,,
Alusi Bukjalin ,0,0,1,,,
Alusi Kelaan ,0,0,1,,,
Alusi Krawain ,0,0,1,,,
Meyano Raya ,0,0,2,,,
Kilmasa ,0,1,0,,,
Lumasebu ,0,1,0,,,
