"Tabel 5.11. Populasi Unggas di Kecamatan Kormomolin (ekor), 2010-2012",,,,,,
,,,,,,
Jenis Unggas,2010,2011,2012,,,
Itik / Ducks ,0,0,0,,,
Ayam Buras / Buras Chicken ,3367,3420,1268,,,
,,,,,,
,,,,,,
,,,,,,
