"Tabel 3.7. Kepadatan Penduduk Kecamatan Kormomolin Dirinci per Desa, 2012",,,,,,
,,,,,,
Desa ,Luas (km2)  ,Jumlah Penduduk,Kepadatan Penduduk,,,
Lorwembun ,153.59,757,4.93,,,
Alusi Batjas ,149.40,564,3.78,,,
Alusi Tamrian ,70.75,462,6.53,,,
Alusi Bukjalim ,43.32,262,6.05,,,
Alusi Kelaan ,50.83,830,16.33,,,
Alusi Krawain ,63.20,779,12.33,,,
Meyano Raya* ,107.75,1290,0.01,,,
Kilmasa ,107.66,619,5.75,,,
Lumasebu ,186.68,639,3.42,,,
