"Tabel 5.15. Banyaknya Perahu / Kapal Motor Penangkap Ikan Menurut Jenisnya di Kecamatan Kormomolin, 2012",,,,,,
,,,,,,
Desa,Perahu Tanpa Motor Jukung ,Perahu Tanpa Motor Kecil ,Perahu Tanpa Motor Sedang ,Perahu Tanpa Motor Besar ,Motor Tempel ,Kapal Motor
Lorwembun ,9,11,23,9,7,-
Alusi Batjas ,- ,- ,- ,- ,- ,-
Alusi Tamrian ,- ,- ,- ,- ,- ,-
Alusi Bukjalim ,- ,- ,- ,- ,- ,-
Alusi Kelaan ,12,7,9,7,10,-
Alusi Krawain ,- ,- ,- ,- ,- ,-
Meyano Raya* ,21,16,6,7,2,-
Kilmasa ,8,22,9,6,15,-
Lumasebu ,18,10,8,4,4,-
