"Tabel 5.14. Banyaknya Rumah Tangga Perikanan (RTP) dan Nelayan di Kecamatan Kormomolin, 2012",,
,,
Desa ,Rumah Tangga Perikanan ,Nelayan
Lorwembun ,23,69
Alusi Batjas ,- ,-
Alusi Tamrian ,- ,-
Alusi Bukjalim ,- ,-
Alusi Kelaan ,25,75
Alusi Krawain ,- ,-
Meyano Raya* ,26,73
Kilmasa ,26,73
Lumasebu ,36,108
