Date of Sampling	PM10	PM2.5	SO2	NO2	O3 	NH3 	C6H6	BaP	Pb 	As  	Ni 
30.07.2015	57.6	22	13.3	10.9	2.8	1.8	BDL	BDL	BDL	BDL	BDL
03.08.2015	76.6	30.9	11.9	10.7	3.8	2.5	BDL	BDL	BDL	BDL	BDL
06.08.2015	67.5	29.4	12.7	11.7	2.8	1.9	BDL	BDL	BDL	BDL	BDL
10.08.2015	106.4	40.2	14	9.8	4.4	2.1	BDL	BDL	BDL	BDL	BDL
13.08.2015	81.7	33.9	15.3	12.1	3.2	2.8	BDL	BDL	BDL	BDL	BDL
17.08.2015	89.3	36.2	13.8	11.2	3.4	2	BDL	BDL	BDL	BDL	BDL
20.08.2015	103.2	36.8	15.3	10.7	2.8	3.2	BDL	BDL	BDL	BDL	BDL
24.08.2015	89.9	38.2	15.6	13.0	3.5	2.7	BDL	BDL	BDL	BDL	BDL
27.08.2015	91.7	30.5	13.6	9.0	3.0	2.2	BDL	BDL	BDL	BDL	BDL
31.08.2015	106.5	40.9	13.7	9.6	3.5	3.0	BDL	BDL	BDL	BDL	BDL
03.09.2015	121.6	45.1	14.3	10.4	3.6	2.8	BDL	BDL	BDL	BDL	BDL
07.09.2015	70.2	28.1	17.4	13.9	2.7	2.2	BDL	BDL	BDL	BDL	BDL
10.09.2015	69.3	29.4	15.4	12.4	4.5	2.8	BDL	BDL	BDL	BDL	BDL
14.09.2015	84.2	31.4	19.0	14.2	2.7	2.7	BDL	BDL	BDL	BDL	BDL
17.09.2015	79.2	32.7	15.3	12.0	4.7	2.6	BDL	BDL	BDL	BDL	BDL
21.09.2015	65.5	26.5	15.6	10.9	2.5	4.3	BDL	BDL	BDL	BDL	BDL
24.09.2015	75.8	27.4	14.8	12	3.5	3.6	BDL	BDL	BDL	BDL	BDL
28.09.2015	96.9	30.2	13.8	12.1	2.3	2.7	BDL	BDL	BDL	BDL	BDL
01.10.2015	101.4	39.5	14.9	9.6	3	3.5	BDL	BDL	BDL	BDL	BDL
05.10.2015	91.2	36.9	13.8	12	2.8	3.7	BDL	BDL	BDL	BDL	BDL
08.10.2015	76.3	31.4	16.5	13.6	2.4	3.4	BDL	BDL	BDL	BDL	BDL
12.10.2015	119	45.2	13.4	9.7	3	4	BDL	BDL	BDL	BDL	BDL
15.10.2015	80.4	25.7	20.4	14.4	2.7	2.7	BDL	BDL	BDL	BDL	BDL
19.10.2015	97.9	36.7	15.8	10.7	2.6	3.3	BDL	BDL	BDL	BDL	BDL
22/10/2015	79.6	31.1	14.9	13.3	2.1	3.8	BDL	BDL	BDL	BDL	BDL
26/10/2015	90.7	37.8	17.2	11.1	2.7	4.5	BDL	BDL	BDL	BDL	BDL
29/10/2015	81.8	34.9	14.1	14.3	2.5	3.6	BDL	BDL	BDL	BDL	BDL
2/11/2015	106.1	37.8	16.9	11.5	2	4.5	BDL	BDL	BDL	BDL	BDL
5/11/2015	80.5	31.2	18.3	14.6	2.4	4.5	BDL	BDL	BDL	BDL	BDL
9/11/2015	114.2	42.2	15	13.4	2.2	4.2	BDL	BDL	BDL	BDL	BDL
12/11/2015	132.6	44.1	13.2	10.4	2.5	4.4	BDL	BDL	BDL	BDL	BDL
16/11/2015	76.8	30.5	14.9	11.2	2	3.5	BDL	BDL	BDL	BDL	BDL
19/11/2015	101.7	35.3	18.6	12.6	2.6	3.7	BDL	BDL	BDL	BDL	BDL
23/11/15	128.9	45	15.7	13.1	2.4	3.7	BDL	BDL	BDL	BDL	BDL
26/11/15	106	41.5	15.9	12.4	2.1	3.8	BDL	BDL	BDL	BDL	BDL
30/11/15	102.9	38.1	17.3	12.6	2.2	4.6	BDL	BDL	BDL	BDL	BDL
3/12/2015	91.1	32	18.8	11.9	2.5	4.4	BDL	BDL	BDL	BDL	BDL
7/12/2015	117.4	47.7	18.2	12.8	1.8	3.9	BDL	BDL	BDL	BDL	BDL
10/12/2015	92.4	34.5	16.7	11.7	2.4	3.6	BDL	BDL	BDL	BDL	BDL
14/12/15	136.4	43.1	14.5	10.5	2.3	4.5	BDL	BDL	BDL	BDL	BDL
17/12/15	84.1	30.9	16.1	12.1	2.9	3.4	BDL	BDL	BDL	BDL	BDL
