"Tabel 3.3 Banyaknya Penduduk Menurut Desa dan Jenis Kelamin di Kecamatan Wertamrian, 2012",,,,,,,
,,,,,,,
Desa ,Penduduk (orang)  Laki ,Penduduk (orang)  Perempuan ,Penduduk (orang)  Jumlah,Rasio Jenis Kelamin,,,
Tumbur ,576,583,1159,99,,,
Lorulun ,958,945,1903,101,,,
Atubul Raya ,1112,1093,2205,102,,,
Amdasa ,366,369,735,99,,,
Sangliat Dol ,356,357,713,100,,,
Sangliat Krawain ,362,373,735,97,,,
Arui Bab ,899,899,1798,100,,,
Arui Das ,447,473,920,95,,,
