Tabel 2.1 Nama Camat Menurut Masa Jabatan di Kecamatan Wertamrian,,,,,,,,
,,,,,,,,
Nama Camat ,Masa Jabatan,,,,,,,
"J. Watratan, S.Sos ",2003 ­ 2005,,,,,,,
"L.I. Rahanubun, S.Sos ",2005 ­ 2007,,,,,,,
"J. Batseran, S.Sos ",2007 ­ 2008,,,,,,,
"R.K. Renwarin, S.Sos ",2008 ­ 2013,,,,,,,
"E.A. Oratmangun, SH ",2013 ­ ........,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
