Tabel 1.1.5 Jarak Ibu kota Kecamatan ke Desa di Kecamatan Wertamrian,,,,,,,
,,,,,,,
Ibukota Kecamatan ,Desa,Jarak (km),,,,,
Lorulun Tumbur,,4,,,,,
Atubul Raya,,13,,,,,
Amdasa,,19,,,,,
Sangliat Dol,,22,,,,,
Sangliat Krawain,,24,,,,,
Arui Bab,,40,,,,,
Arui Das,,41,,,,,
