"Tabel 2.2 Banyaknya Surat Nikah yang Dikeluarkan Menurut Desa di Kecamatan Wertamrian, 2008 ­ 2012",,,,,,,,
,,,,,,,,
Desa ,2008,2009,2010,2011,2012,,,
Tumbur ,5,12,9,11,25,,,
Lorulun ,12,17,19,27,25,,,
Atubul Raya ,7,1,29,49,25,,,
Amdasa ,2,5,12,7,25,,,
Sangliat Dol ,5,3,31,10,25,,,
Sangliat Krawain ,5,7,11,9,25,,,
Arui Bab ,7,12,13,17,25,,,
Arui Das ,2,10,6,9,25,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
