"Tabel 4.1.3 Banyaknya Gedung Sekolah, Ruang Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Pertama Menurut Desa di Kecamatan Wertamrian, 2012",,,,,,,
,,,,,,,
Desa,Gedung Sekolah ,Ruang Kelas,Murid,Guru Tetap,Guru Tidak Tetap,Rasio Murid Guru,
Tumbur ,0,0,0,0,0,0.00,
Lorulun ,1,3,186,10,7,10.94,
Atubul Raya ,2,6,135,13,6,7.11,
Amdasa ,0,0,0,0,0,0.00,
Sangliat Dol ,1,3,98,9,7,6.13,
Sangliat Krawain ,0,0,0,0,0,0.00,
Arui Bab ,1,3,139,15,3,7.72,
Arui Das ,1,3,65,10,3,5.00,
2012,6,18,623,57,26,7.51,
