"Tabel 5.5.5 Jumlah Alat Penangkap Ikan Menurut Jenis Ikan di Kecamatan Wertamrian, 2012",,,,,,,,
,,,,,,,,
Desa ,Pukat ,JaringI  nsang ,Jaring Angkat,Pancing ,Perangkap ,Lainnya,,
Tumbur ,0,24,0,58,0,27,,
Lorulun ,0,21,0,40,10,23,,
Atubul Raya ,0,96,0,110,16,45,,
Amdasa ,0,5,0,53,9,30,,
Sangliat Dol ,0,11,0,27,6,15,,
Sangliat Krawain ,0,17,0,37,6,19,,
Arui Bab ,0,24,0,39,12,22,,
Arui Das ,0,36,0,64,9,36,,
