"Tabel 6.2 Banyaknya Pedagang Menurut Desa di Kecamatan Wertamrian, 2012",,,,,,,,
,,,,,,,,
Desa ,Pedagang Besar ,Pedagang Menengah ,Pedagang Kecil,Jumlah,,,,
Tumbur ,0,1,0,1,,,,
Lorulun ,0,1,0,1,,,,
Atubul Raya ,0,0,0,0,,,,
Amdasa ,0,0,0,0,,,,
SangliatDol ,0,0,0,0,,,,
SangliatKrawain ,0,0,0,0,,,,
Arui Bab ,0,0,1,1,,,,
Arui Das ,0,0,0,0,,,,
