"Tabel 4.1.4 Banyaknya Gedung Sekolah, Ruang Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Tingkat Atas Menurut Desa di Kecamatan Wertamrian, 2012",,,,,,
,,,,,,
Desa,Gedung  Sekolah ,Ruang Kelas,Murid,Guru Tetap,Guru Tidak Tetap,Rasio Murid Guru
Tumbur ,0,0,0,0,0,0
Lorulun ,1,3,159,20,4,6.63
Atubul Raya ,0,0,0,0,0,0
Amdasa ,0,0,0,0,0,0
Sangliat Dol ,0,0,0,0,0,0
Sangliat Krawain ,0,0,0,0,0,0
Arui Bab ,1,2,98,11,5,6.13
Arui Das ,0,0,0,0,0,0
2012,2,6,257,31,9,6.43
