"Tabel 5.4.3 Jumlah Ternak Yang Dipotong Menurut Jenis di Kecamatan Wertamrian (ekor), 2010 ­2012",,,,,,,,
,,,,,,,,
Ternak,Pemotongan (ekor) 2010,Pemotongan (ekor) 2011,Pemotongan (ekor) 2012,,,,,
Sapi Potong ,0,34,20,,,,,
Kerbau ,0,3,4,,,,,
Kambing ,68,0,7,,,,,
Domba ,0,0,0,,,,,
Babi ,210,309,175,,,,,
Kuda ,0,0,0,,,,,
