"Tabel 4.1.2 Banyaknya Gedung Sekolah, Ruang Kelas, Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Menurut Desa di Kecamatan Wertamrian, 2012",,,,,,,
,,,,,,,
Desa,Gedung Sekolah ,Ruang Kelas,Murid,Guru Tetap,Guru Tidak Tetap,Rasio Murid Guru,
Tumbur ,1,6,171,9,6,11.40,
Lorulun ,2,12,315,10,11,15.00,
Atubul Raya ,3,18,379,17,15,11.84,
Amdasa ,1,6,113,6,4,11.30,
Sangliat Dol ,1,6,117,6,5,10.63,
Sangliat Krawain ,1,6,117,6,2,14.63,
Arui Bab ,2,12,324,21,13,9.53,
Arui Das ,1,6,158,5,4,17.55,
2012,12,72,1694,80,60,12.10,
