"Tabel 6.1 Banyaknya Perusahaan Menurut Bentuk Badan Hukum di Kecamatan Wertamrian, 2012",,,,,,,,
,,,,,,,,
Desa ,PT ,CV/ Firma,Koperasi ,Perorangan,Lainnya ,Jumlah,,
Tumbur ,0,1,0,10,0,11,,
Lorulun ,0,1,0,30,0,31,,
Atubul Raya ,0,0,0,12,0,12,,
Amdasa ,0,0,0,15,0,15,,
Sangliat Dol ,0,0,0,13,0,13,,
Sangliat Krawain ,0,0,0,7,0,7,,
Arui Bab ,0,0,0,24,0,24,,
Arui Das ,0,0,0,14,0,14,,
