"Tabel 4.3.1 Banyaknya Tempat Peribadatan Menurut Desa di Kecamatan Wertamrian, 2010 ­ 2012",,,,,,,,,
,,,,,,,,,
Desa ,Mesjid ,Mushola ,Gereja Protestan ,Gereja Katolik,Pura ,Vihara,,,
Tumbur ,0,0,0,1,0,0,,,
Lorulun ,0,0,0,1,0,0,,,
Atubul Raya ,0,0,0,1,0,0,,,
Amdasa ,0,0,0,1,0,0,,,
Sangliat Dol ,0,0,0,1,0,0,,,
Sangliat Krawain,0,0,0,1,0,0,,,
Arui Bab ,0,0,0,1,0,0,,,
Arui Das ,0,0,0,1,0,0,,,
2012,0,0,0,8,0,0,,,
2011,0,0,0,8,0,0,,,
2010,0,0,0,8,0,0,,,
