"Tabel 2.3 Banyaknya Akta Kelahiran yang Dikeluarkan Menurut Desa di Kecamatan Wertamrian, 2008 ­ 2012",,,,,,,,
,,,,,,,,
Desa ,2008,2009,2010,2011,2012,,,
Tumbur ,22,20,17,29,50,,,
Lorulun ,26,17,45,39,100,,,
Atubul Raya ,12,23,51,66,100,,,
Amdasa ,8,812,27,19,50,,,
Sangliat Dol ,13,14,,827,50,,,
Sangliat Krawain ,17,12,13,17,50,,,
Arui Bab ,27,21,28,42,100,,,
Arui Das ,12,17,13,19,50,,,
,,,,,,,,
,,,,,,,,
