"Tabel 4.2.2 Banyaknya Tenaga Non Medis di Kecamatan Wertamrian, 2010 ­ 2012",,,,,,,
,,,,,,,
Tenaga Non Medis ,2010,2011,2012,,,,
Gizi ,2,2,2,,,,
Kader Posyandu ,47,46,45,,,,
Tenaga Lainnya ,2,2,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
