"Tabel 4.1.5 Rata-Rata Murid per Sekolah Menurut Desa dan Jenjang Pendidikan di Kecamatan Wertamrian, 2010 ­ 2012",,,,,,,
,,,,,,,
Desa ,SD ,SMTP ,SMTA,,,,
Tumbur ,171,0,0,,,,
Lorulun ,315,186,159,,,,
Atubul Raya ,379,135,0,,,,
Amdasa ,113,0,0,,,,
Sangliat Dol ,117,98,0,,,,
Sangliat Krawain ,117,0,0,,,,
Arui Bab ,324,139,98,,,,
Arui Das ,158,65,0,,,,
2012,141.17,103.83,128.50,,,,
2011,143.50,101.00,126.50,,,,
2010,139.08,101.08,110.00,,,,
