"Tabel 5.5.2 Produksi dan Nilai Perikanan Tangkap Menurut Desa di Kecamatan Wertamrian, 2011 -2012",,,,
,,,,
Desa,Produksi (ton) 2011,Produksi (ton) 2012,Nilai (ribu rupiah) 2011,Nilai (ribu rupiah) 2012
Tumbur ,59.41,55.79,754586,710034
Lorulun ,67.9,64.37,862384,819270
Atubul Raya ,72.15,85.83,916283,1092360
Amdasa ,50.93,47.21,646788,600798
Sangliat Dol ,33.95,34.33,431192,436944
Sangliat Krawain ,38.2,38.62,485091,491562
Arui Bab ,21.22,21.46,269495,273090
Arui Das ,80.63,81.54,1024081,1037742
