Tabel 5.10. Pemotongan Ternak Menurut Jenis Ternakdi Kecamatan Wuarlabobar 2010 – 2012,,,
,,,
Jenis Ternak,Pemotongan (ekor) 2010,Pemotongan (ekor) 2011,Pemotongan (ekor) 2012
Sapi ,0,0,0
Kerbau ,0,0,0
Kambing ,10,35,30
Domba ,0,0,0
Babi ,20,20,26
Kuda ,0,0,0
