Tabel 5.1. Luas Areal Tanaman Pangan di Kecamatan Wuarlabobar 2010 ­ 2012,,,,,,,,
,,,,,,,,
Jenis Tanaman,Luas Areal (ha)2010,Luas Areal (ha) 2011,Luas Areal (ha) 2012,,,,,
Padi Ladang ,89,89,50,,,,,
Jagung ,76,79,53,,,,,
Ketela Pohon ,29,29,34,,,,,
Ketela Rambat ,23,23,27,,,,,
Kacang Tanah ,22,24,23,,,,,
Kacang Hijau ,21,21,27,,,,,
Kacang-Kacangan Lainnya ,25,25,28,,,,,
Umbi-umbian Lainnya ,73,73,77,,,,,
