Tabel 5.12. Produksi Telur di Kecamatan Wuarlabobar 2010 ­ 2012,,,
,,,
Jenis Unggas,Produksi (kg) 2010,Produksi (kg) 2011,Produksi (kg) 2012
Itik ,0,0,68
Ayam Buras ,"2,659",715,"3,288"
