"Tabel 4.13. Banyaknya Gedung Sekolah Menengah TingkatAtas Negeri, Ruang Kelas, Guru Dan Murid di
Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
Gedung Sekolah ,2,2,2
Sekolah ,2,2,2
Ruang Kelas ,9,6,10
Kelas ,9,12,10
Murid ,250,262,247
Guru ,25,41,33
