"Tabel 4.10. Banyaknya Gedung Sekolah Menengah Tingkat Pertama Swasta, Ruang Kelas, Guru Dan Murid di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
Gedung Sekolah ,1,2,1
Sekolah ,1,2,1
Ruang Kelas ,3,5,3
Kelas ,3,5,3
Murid ,142,148,141
Guru ,7,10,8
