Tabel 5.3. Produksi Tanaman Pangan di Kecamatan Wuarlabobar 2010 ­ 2012,,,,,,,,
,,,,,,,,
Jenis Tanaman,Produksi (Ton) 2010,Produksi (Ton) 2011,Produksi (Ton) 2012,,,,,
Padi Ladang ,25,100,84,,,,,
Jagung ,43,111,140,,,,,
Ketela Pohon ,147,147,192,,,,,
Ketela Rambat ,125,125,150,,,,,
Kacang Tanah ,178,49,28,,,,,
Kacang Hijau ,11,11,36,,,,,
Kacang-Kacangan Lainnya ,14,14,20,,,,,
Umbi-umbian Lainnya ,414,414,432,,,,,
