Tabel 5.13. Perkembangan Hasil Penangkapan Ikan danNilai Ikan di Kecamatan Wuarlabobar2010 – 2012,,,
,,,
Uraian ,2010,2011,2012
Produksi (Ton) ,"1,480","1,398","1,131"
Nilai (.000 Rp.) ,"8,455,650","18,496,315","15,181,520"
