Tabel 5.4. Luas Areal Tanaman Perkebunan di Kecamatan Wuarlabobar 2010 ­ 2012,,,,,,,,
,,,,,,,,
Jenis Tanaman,Luas Areal (ha) 2010,Luas Areal (ha) 2011,Luas Areal (ha) 2012,,,,,
Kelapa ,2263,2316,2319,,,,,
Cengkih ,0,0,0,,,,,
Pala ,0,0,0,,,,,
Kopi ,0,6,0,,,,,
Coklat ,0,0,0,,,,,
Jambu Mete ,170,160,164,,,,,
