Tabel 5.5. Produksi Tanaman Perkebunan di Kecamatan Wuarlabobar 2010 ­ 2012,,,,,,,,
,,,,,,,,
Jenis Tanaman,Produksi (Ton) 2010,Produksi (Ton) 2011,Produksi (Ton) 2012,,,,,
Kelapa ,3742,3988,3994,,,,,
Cengkih ,0,0,0,,,,,
Pala ,0,0,0,,,,,
Kopi ,0,6,0,,,,,
Coklat ,0,0,0,,,,,
Jambu Mete ,153,155,156,,,,,
