"Tabel 4.3. Banyaknya Gedung Sekolah Dasar Negeri, Ruang Kelas, Guru Dan Murid di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012,,,,,
Gedung Sekolah ,4,4,3,,,,,
Sekolah ,4,4,3,,,,,
Ruang Kelas ,24,24,18,,,,,
Kelas ,24,24,18,,,,,
Murid ,508,557,406,,,,,
Guru ,26,26,20,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
