Tabel 5.9. Populasi Ternak Menurut Jenis Ternakdi Kecamatan Wuarlabobar 2010 – 2012,,,
,,,
Jenis Ternak,Populasi (ekor) 2010,Populasi (ekor) 2011,Populasi (ekor) 2012
Sapi ,0,0,4
Kerbau ,0,0,0
Kambing ,460,460,47
Domba ,0,0,0
Babi ,183,183,430
Kuda ,0,0,0
